Version,Operation,Mode,Pinned,Peak (GiB/s),Median (GiB/s)
v7_async_fence_optimized,D2H,Batch,No,11.06,9.30
v8_aggressive_batch,D2D,Sync,Yes,189.32,6.25
v8_aggressive_batch,D2D,Sync,No,188.89,6.81
v8_aggressive_batch,D2D,Batch,Yes,208.43,41.17
v8_aggressive_batch,D2D,Batch,No,208.62,41.42
v8_aggressive_batch,H2D,Sync,Yes,10.23,4.14
v8_aggressive_batch,H2D,Sync,No,7.81,2.10
v8_aggressive_batch,H2D,Batch,Yes,10.27,8.22
v8_aggressive_batch,H2D,Batch,No,10.26,8.04
v8_aggressive_batch,D2H,Sync,Yes,11.04,4.38
v8_aggressive_batch,D2H,Sync,No,8.26,2.18
v8_aggressive_batch,D2H,Batch,Yes,11.10,9.52
v8_aggressive_batch,D2H,Batch,No,11.04,9.30
v9_adaptive_coalescing,D2D,Sync,Yes,176.54,2.08
v9_adaptive_coalescing,D2D,Sync,No,189.10,3.37
v9_adaptive_coalescing,D2D,Batch,Yes,208.47,40.79
v9_adaptive_coalescing,D2D,Batch,No,208.59,41.48
v9_adaptive_coalescing,H2D,Sync,Yes,10.23,4.15
v9_adaptive_coalescing,H2D,Sync,No,7.26,1.94
v9_adaptive_coalescing,H2D,Batch,Yes,10.26,8.19
v9_adaptive_coalescing,H2D,Batch,No,10.25,8.10
v9_adaptive_coalescing,D2H,Sync,Yes,11.04,4.38
v9_adaptive_coalescing,D2H,Sync,No,7.60,1.95
v9_adaptive_coalescing,D2H,Batch,Yes,11.09,9.52
v9_adaptive_coalescing,D2H,Batch,No,11.06,9.31
v10_host_sync_optimized,D2D,Sync,Yes,175.28,1.39
v10_host_sync_optimized,D2D,Sync,No,172.35,3.15
v10_host_sync_optimized,D2D,Batch,Yes,208.53,41.15
v10_host_sync_optimized,D2D,Batch,No,208.56,41.50
v10_host_sync_optimized,H2D,Sync,Yes,10.23,4.13
v10_host_sync_optimized,H2D,Sync,No,7.31,1.91
v10_host_sync_optimized,H2D,Batch,Yes,10.26,8.22
v10_host_sync_optimized,H2D,Batch,No,10.26,8.03
v10_host_sync_optimized,D2H,Sync,Yes,11.04,4.37
v10_host_sync_optimized,D2H,Sync,No,7.69,1.94
v10_host_sync_optimized,D2H,Batch,Yes,11.09,9.52
v10_host_sync_optimized,D2H,Batch,No,11.06,9.30
