Version,Operation,Mode,Pinned,Peak (GiB/s),Median (GiB/s)
v7_async_fence_optimized,D2H,Batch,No,10.56,8.84
v8_aggressive_batch,D2D,Sync,Yes,180.61,2.89
v8_aggressive_batch,D2D,Sync,No,189.07,5.56
v8_aggressive_batch,D2D,Batch,Yes,208.38,41.28
v8_aggressive_batch,D2D,Batch,No,208.38,41.54
v8_aggressive_batch,H2D,Sync,Yes,10.22,4.13
v8_aggressive_batch,H2D,Sync,No,7.35,1.94
v8_aggressive_batch,H2D,Batch,Yes,10.28,8.22
v8_aggressive_batch,H2D,Batch,No,10.25,8.00
v8_aggressive_batch,D2H,Sync,Yes,10.53,4.28
v8_aggressive_batch,D2H,Sync,No,7.42,2.02
v8_aggressive_batch,D2H,Batch,Yes,10.59,9.15
v8_aggressive_batch,D2H,Batch,No,10.55,8.87
v9_adaptive_coalescing,D2D,Sync,Yes,189.44,6.16
v9_adaptive_coalescing,D2D,Sync,No,189.08,6.46
v9_adaptive_coalescing,D2D,Batch,Yes,208.35,41.18
v9_adaptive_coalescing,D2D,Batch,No,208.25,41.51
v9_adaptive_coalescing,H2D,Sync,Yes,10.22,4.12
v9_adaptive_coalescing,H2D,Sync,No,7.83,2.09
v9_adaptive_coalescing,H2D,Batch,Yes,10.28,8.22
v9_adaptive_coalescing,H2D,Batch,No,10.25,8.10
v9_adaptive_coalescing,D2H,Sync,Yes,10.53,4.28
v9_adaptive_coalescing,D2H,Sync,No,7.95,2.20
v9_adaptive_coalescing,D2H,Batch,Yes,10.59,9.15
v9_adaptive_coalescing,D2H,Batch,No,10.55,8.96
